Appelation,Parker,Robinson,Suckling,Prix
Saint-Emilion,90.0,90.0,90.0,42.0
Pomerol,87.0,87.0,87.0,51.0
Pauillac,94.0,94.0,94.0,115.0
Haut-Médoc,None,None,None,146.0
Castillon Côtes de Bordeaux,91.0,91.0,91.0,29.0
Pomerol,92.0,92.0,92.0,52.0
Saint-Julien,93.0,93.0,93.0,61.0
Saint-Estèphe,None,15.5,15.5,22.0
Pomerol,91.0,None,91.0,30.0
Margaux,None,None,88.0,24.0
Pessac-Léognan,None,15.5,15.5,22.0
Haut-Médoc,92.0,92.0,92.0,32.0
Pessac-Léognan,93.0,93.0,93.0,39.83
Médoc,90.0,90.0,90.0,29.0
Saint-Emilion,90.0,90.0,90.0,54.0
Médoc,87.0,87.0,87.0,31.0
Haut-Médoc,89.0,89.0,89.0,27.0
Pessac-Léognan,92.0,None,92.0,27.5
Castillon Côtes de Bordeaux,91.0,91.0,91.0,30.0
Pessac-Léognan,93.0,93.0,93.0,41.0
Sauternes,96.0,96.0,96.0,375.0
Saint-Julien,90.0,90.0,90.0,73.0
Pessac-Léognan,90.0,90.0,90.0,25.0
Castillon Côtes de Bordeaux,92.0,92.0,92.0,30.0
Saint-Julien,94.0,94.0,94.0,139.0
Pauillac,97.0,97.0,97.0,310.0
Moulis,88.0,88.0,88.0,28.5
Pauillac,92.0,92.0,92.0,58.0
Pomerol,89.0,89.0,89.0,122.0
Saint-Emilion,90.0,90.0,90.0,37.0
Castillon Côtes de Bordeaux,92.0,92.0,92.0,23.0
Moulis,91.0,91.0,91.0,38.83
Haut-Médoc,87.0,87.0,87.0,19.92
Pauillac,89.0,89.0,89.0,50.0
Médoc,89.0,89.0,89.0,25.5
Saint-Emilion,93.0,93.0,93.0,76.0
Haut-Médoc,86.0,86.0,86.0,35.0
Margaux,91.0,91.0,91.0,62.42
Pauillac,None,None,90.0,32.25
Saint-Emilion,91.0,91.0,91.0,31.5
Pomerol,92.0,92.0,92.0,59.0
Pomerol,None,None,91.5,33.0
Margaux,96.0,96.0,96.0,79.0
Pauillac,94.0,94.0,94.0,165.0
Saint-Julien,95.0,95.0,95.0,64.0
Saint-Estèphe,90.0,90.0,90.0,23.0
Pessac-Léognan,89.0,None,89.0,21.0
Saint-Julien,93.0,93.0,93.0,75.0
Saint-Estèphe,91.0,91.0,91.0,35.0
